params,final_capital,total_return,total_return_pct,num_trades,win_rate,max_drawdown,improvement_vs_baseline,status
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 25, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 2.0}",19459.984800000035,-30540.015199999965,-61.08003039999993,246,11.38211382113821,76.59360120000001,-90564.29519999996,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 25, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.5}",5563.246400000011,-44436.75359999999,-88.87350719999998,291,9.621993127147768,94.09115599999998,-104461.0336,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 25, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 2.0}",21970.20830000005,-28029.79169999995,-56.0595833999999,244,11.475409836065573,77.67204240000002,-88054.07169999994,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 25, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",14941.724800000038,-35058.27519999996,-70.11655039999992,265,10.566037735849058,84.34910239999998,-95082.55519999996,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.5}",4974.812699999999,-45025.187300000005,-90.0503746,286,9.44055944055944,94.58822480000002,-105049.4673,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",7818.3290000000015,-42181.671,-84.363342,264,10.227272727272728,91.65315380000003,-102205.951,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",17239.876400000012,-32760.123599999988,-65.52024719999999,234,11.538461538461538,81.79287060000006,-92784.40359999999,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.5}",5193.092600000003,-44806.9074,-89.61381479999999,288,9.375,94.36444600000002,-104831.1874,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",6785.920700000013,-43214.07929999998,-86.42815859999997,265,10.18867924528302,91.60195420000001,-103238.35929999998,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 2.0}",15815.723800000029,-34184.27619999997,-68.36855239999994,234,11.538461538461538,81.85393520000004,-94208.55619999996,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 30, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.5}",5591.65860000001,-44408.34139999999,-88.81668279999998,285,9.473684210526317,94.37138180000002,-104432.62139999999,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 30, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",8684.531500000026,-41315.46849999997,-82.63093699999995,262,10.305343511450381,91.08219480000001,-101339.74849999997,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.0, 'risk_per_trade': 0.015, 'adx_threshold': 30, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 2.0}",17647.730700000044,-32352.269299999956,-64.70453859999992,233,11.587982832618025,82.53998180000004,-92376.54929999996,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.5}",15263.408099999975,-34736.59190000003,-69.47318380000006,106,1.8867924528301887,78.45938380000005,-94760.87190000003,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",21338.3947,-28661.6053,-57.323210599999996,91,2.197802197802198,69.23539000000002,-88685.8853,success
